locationNumber,name,yiddishName,region
51223,Łęczna ,Lénčnə,P - (Northern) Poland
51224,Kurów ,Kúrəf,P - (Northern) Poland
51225,Lubartów ,Lívərtif,P - (Northern) Poland
51228,Luków ,Líkəvə,P - (Northern) Poland
51229,Międzyrzec,Mézrič,P - (Northern) Poland
51232,Chełm ,Xéləm,P - (Northern) Poland
51233,Świerze,Sverš,P - (Northern) Poland
51237,Lomazy,Lumáz,P - (Northern) Poland
51238,Sławatycze ,Slávətič,P - (Northern) Poland
51241,Nikitichi,It,P - (Northern) Poland
51243,Kowel,Kóvlə,P - (Northern) Poland
51245,Ratno,Rátnə,P - (Northern) Poland
51246,Nujno,Nújnə,P - (Northern) Poland
51253,Kołki,Kolk,P - (Northern) Poland
51258,Lubieszów,Libəšójv,P - (Northern) Poland
51260,Żołudsk,Žalúck,V - Northern Ukraine
51264,Włodzimierzec,Boldímirəc,V - Northern Ukraine
51265,Dąbrowica,Démbrovic,V - Northern Ukraine
51283,Ovruch,Avríč,V - Northern Ukraine
51286,Skorodnoye,Skaródnə,V - Northern Ukraine
51287,Lelchitsy,Ləlčíč,V - Northern Ukraine
51300,Chernobyl’,Černóbl’,V - Northern Ukraine
51301,Gornostaypol,Hornestájpoljə,V - Northern Ukraine
51314,Chernigov,Černív,V - Northern Ukraine
51322,Borzna ,Bórznə,V - Northern Ukraine
51323,Bakhmach ,Baxmíc,V - Northern Ukraine
51331,Konotop ,Konotóp,V - Northern Ukraine
52041,s'Gravenhage,,"W - Austria, Czechoslovakia, Germany, Holland"
52046,Amsterdam ,,"W - Austria, Czechoslovakia, Germany, Holland"
52055,Harderwijk ,,"W - Austria, Czechoslovakia, Germany, Holland"
52063,Eibergen ,,"W - Austria, Czechoslovakia, Germany, Holland"
52065,Almelo ,,"W - Austria, Czechoslovakia, Germany, Holland"
52068,Assen ,,"W - Austria, Czechoslovakia, Germany, Holland"
52083,Minden ,,"W - Austria, Czechoslovakia, Germany, Holland"
52093,Hildesheim ,,"W - Austria, Czechoslovakia, Germany, Holland"
52094,Hannover ,,"W - Austria, Czechoslovakia, Germany, Holland"
52102,Braunschweig ,,"W - Austria, Czechoslovakia, Germany, Holland"
52135,Berlin ,,"W - Austria, Czechoslovakia, Germany, Holland"
52155,Schwerin ,,"W - Austria, Czechoslovakia, Germany, Holland"
52166,Poznań (Posen) ,,"W - Austria, Czechoslovakia, Germany, Holland"
52169,Chodziez,Xoč,"W - Austria, Czechoslovakia, Germany, Holland"
52173,Zagórów ,Zágrəvə,P - (Northern) Poland
52177,Rogozno (Rogasen),,P - (Northern) Poland
52180,Koło ,Kojl,P - (Northern) Poland
52181,Konin ,Knin,P - (Northern) Poland
52184,Kleczew ,Kléčəvə,P - (Northern) Poland
52185,Izbica,Ížbic,P - (Northern) Poland
52189,Aleksandrów,Aləksándrovə,P - (Northern) Poland
52192,Kutno ,Kítnə,P - (Northern) Poland
52193,Łowicz ,Lójvič,P - (Northern) Poland
52195,Gostynin ,Gostənín,P - (Northern) Poland
52196,Płock ,Plock,P - (Northern) Poland
52197,Lipno ,Lípnə,P - (Northern) Poland
52198,Sierpc ,Šeps,P - (Northern) Poland
52201,Sochaczew ,Sóxəčəf,P - (Northern) Poland
52202,Błonie ,Blójnə,P - (Northern) Poland
52205,Zakroczym ,Zakričín,P - (Northern) Poland
52207,Bodzanów,Bódzənəf,P - (Northern) Poland
52208,Ciechanów ,Čexánovə,P - (Northern) Poland
52210,Różan ,Režán,P - (Northern) Poland
52211,Warszawa ,Váršə,P - (Northern) Poland
52212,Kolbiel ,Kólbjel,P - (Northern) Poland
52213,Kałuszyn ,Kaləšín,P - (Northern) Poland
52214,Radzymin ,Radzmín,P - (Northern) Poland
52215,Jadów ,Jádəvə,P - (Northern) Poland
52217,Maków ,Mákəvə,P - (Northern) Poland
52219,Brok ,Brok,P - (Northern) Poland
52220,Rudka ,Rídik,P - (Northern) Poland
52221,Siedlce ,Šédlic,P - (Northern) Poland
52223,Losice,Lošíc,P - (Northern) Poland
52224,Węgrów ,Véngərevə,P - (Northern) Poland
52225,Drohiczyn nad Bugem,Drohíčin,P - (Northern) Poland
52228,Jabłonka Kościelna ,Jablónkə,P - (Northern) Poland
52229,Brańsk ,Brajnsk,P - (Northern) Poland
52231,Biała Podlaska ,Bjálə,P - (Northern) Poland
52233,Breść,Brisk,P - (Northern) Poland
52235,Kleszczele ,Kliščél,P - (Northern) Poland
52236,Kamieniec-Litewski,Kámənic,P - (Northern) Poland
52237,Bielsk Podlaski ,Bilsk,P - (Northern) Poland
52242,Kobryń,Kobrín,P - (Northern) Poland
52244,Prużana,Prúžənə,P - (Northern) Poland
52245,Malecz,Malč,P - (Northern) Poland
52249,Rożana,Rožnój,P - (Northern) Poland
52251,Drohiczyn,Drohíčn,P - (Northern) Poland
52256,Telechany,Teləxán,P - (Northern) Poland
52258,Byteń,Bútən,P - (Northern) Poland
52261,Pińsk,Pinsk,P - (Northern) Poland
52263,Duboy,Dubój,P - (Northern) Poland
52268,Hancewicze,Háncəvic,P - (Northern) Poland
52273,Turov,Túrəv,P - (Northern) Poland
52278,Starobin,Staróbin,P - (Northern) Poland
52279,Yushkavichi,Juškávic,P - (Northern) Poland
52282,Petrikov,Pétrikəv,P - (Northern) Poland
52283,Kopatkevichi,Kapítkəvič,P - (Northern) Poland
52292,Kalinkovichi,Kalénkəvič,P - (Northern) Poland
52294,Ozarichi,Azárič,P - (Northern) Poland
52307,Streshin,Stréšin,P - (Northern) Poland
52308,Zhlobin,Žlobín,P - (Northern) Poland
52314,Gomel’,Hómljə,P - (Northern) Poland
52327,Klintsy,Klíncə,P - (Northern) Poland
